,PageName,VisualName,MeasureName,ColumnName,DimensionName,VisualTitle,ReportName
0,Read Me,card,CurrentDatePST,,,,Refresh Tracker (3)
1,Ingestion Pipeline Logs,card,CurrentDatePST,,,,Refresh Tracker (3)
2,Ingestion Pipeline Logs,tableEx,LastTimeRefresh(MAX) Ingestion(PST),StreamName,meta PipelineExecutionLogs,Controllable On-Time Performance for:,Refresh Tracker (3)
3,Ingestion Pipeline Logs,tableEx,LastTimeRefresh(MAX) Ingestion(PST),PipelineName,meta PipelineExecutionLogs,Controllable On-Time Performance for:,Refresh Tracker (3)
4,Ingestion Pipeline Logs,tableEx,LastTimeRefresh(MAX) Ingestion(PST),Stage Name,meta PipelineExecutionLogs,Controllable On-Time Performance for:,Refresh Tracker (3)
5,Ingestion Pipeline Backup Logs,card,CurrentDatePST,,,,Refresh Tracker (3)
6,Summary Logs,card,CurrentDatePST,,,,Refresh Tracker (3)
7,Summary Logs,tableEx,CurrentStatus(MAX),Mappedcolumns,pipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3)
8,Summary Logs,tableEx,CombineDate,Mappedcolumns,pipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3)
9,Pipeline Backup Logs,card,CurrentDatePST,,,,Refresh Tracker (3)
10,Pipeline Backup Logs,tableEx,ColorCode_BackupPipelineExecutionlogs,PipelineName,backuppipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3)
11,Pipeline Backup Logs,tableEx,ColorCode_BackupPipelineExecutionlogs,StageName,backuppipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3)
12,Pipeline Backup Logs,tableEx,ColorCode_BackupPipelineExecutionlogs,MappedColumn,backuppipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3)
13,Pipeline Backup Logs,tableEx,ColorCode_BackupPipelineExecutionlogs,RefreshTime(PST),backuppipelineexecutionlogs,Controllable On-Time Performance for:,Refresh Tracker (3)
14,Dataset Logs,card,CurrentDatePST,,,,Refresh Tracker (3)
15,Dataset Logs,tableEx,CurrentDuration,EndTime(PST),datasetrefreshhistory,Controllable On-Time Performance for:,Refresh Tracker (3)
16,Dataset Logs,tableEx,CurrentDuration,StartTime(PST),datasetrefreshhistory,Controllable On-Time Performance for:,Refresh Tracker (3)
17,Dataset Logs,tableEx,CurrentDuration,ID,CountNonNull(datasetrefreshhistory,Controllable On-Time Performance for:,Refresh Tracker (3)
18,Dataset Logs,tableEx,CurrentDuration,RefreshType,datasetrefreshhistory,Controllable On-Time Performance for:,Refresh Tracker (3)
19,Dataset Logs,tableEx,CurrentDuration,MappedDatasetName,Dataset Refresh History,Controllable On-Time Performance for:,Refresh Tracker (3)
20,Summary Detailed Logs,pivotTable,Last Refresh Time Ingestion,StreamName,Stream Name Dimension Ingestion,,Refresh Tracker (3)
21,Summary Detailed Logs,pivotTable,Last Refresh Time Ingestion,Stage Name,meta PipelineExecutionLogs,,Refresh Tracker (3)
22,Summary Detailed Logs,tableEx,EndTime(MAX),MappedDatasetName,Dataset Refresh History,DC Result,Refresh Tracker (3)
23,Summary Detailed Logs,tableEx,CurrentDuration,MappedDatasetName,Dataset Refresh History,DC Result,Refresh Tracker (3)
24,Summary Detailed Logs,tableEx,StartTime(MAX),MappedDatasetName,Dataset Refresh History,DC Result,Refresh Tracker (3)
25,Summary Detailed Logs,card,CurrentDatePST,,,,Refresh Tracker (3)
26,Summary Detailed Logs,pivotTable,DateShow,StageName,pipelineexecutionlogs,,Refresh Tracker (3)
27,Summary Detailed Logs,pivotTable,DateShow,Mappedcolumns,Dim2,,Refresh Tracker (3)
28,Pipeline Logs,card,CurrentDatePST,,,,Refresh Tracker (3)
